Facility,ID,Measurement type,Status,Enrichment (%),Burnup (GWd/MT),Discharge day,month,year,cycle #,Thres A,Thres B, Measurement day,month,year,Cooling Time (years), NA, NB, NC, G1, G2 ,Detector      
LANL-FDET           ,1,2,0,1.76,21.46,18,8,1993,2,0,0,  ,  ,    ,0,74.8,76.9,0.01,252.8,0.0001,                                
LANL-FDET           ,2,2,0,1.76,21.46,18,8,1993,2,0,0,  ,  ,    ,0,70.7,70,0.01,248,0.0001,                                
LANL-FDET           ,3,2,0,1.76,14.16,18,8,1988,2,0,0,  ,  ,    ,0,12.8,13.2,0.01,129.6,0.0001,                                
LANL-FDET           ,4,2,0,2.9,28.03,18,8,1990,2,0,0,  ,  ,    ,0,62.3,60.5,0.01,256.8,0.0001,                                
LANL-FDET           ,5,2,0,2.9,29.28,18,12,1992,2,0,0,  ,  ,    ,0,91.6,89.7,0.01,306.1,0.0001,                                
LANL-FDET           ,6,2,0,2.9,27.78,18,8,1990,2,0,0,  ,  ,    ,0,69.2,69.2,0.01,270.9,0.0001,                                
LANL-FDET           ,7,2,0,2.9,28.03,18,8,1990,2,0,0,  ,  ,    ,0,61.6,59.7,0.01,258.6,0.0001,                                
LANL-FDET           ,8,2,2,2.9,29.28,18,12,1992,2,0,0,12,3,2005,12.23,90.9,91.5,0.01,310.5,0,G2                              
LANL-FDET           ,9,2,0,2.9,27.78,18,8,1990,2,0,0,  ,  ,    ,0,72.3,74.7,0.01,278,0.0001,                                
LANL-FDET           ,10,2,0,2.9,28.03,18,8,1990,2,0,0,  ,  ,    ,0,61.5,61.2,0.01,257.6,0.0001,                                
LANL-FDET           ,11,2,0,2.9,27.78,18,8,1990,2,0,0,  ,  ,    ,0,69.4,68.1,0.01,273.8,0.0001,                                
LANL-FDET           ,12,2,0,2.9,28.03,18,8,1990,2,0,0,  ,  ,    ,0,63.1,63.5,0.01,258.8,0.0001,                                
LANL-FDET           ,13,2,0,2.9,27.78,18,8,1990,2,0,0,  ,  ,    ,0,66.9,65.8,0.01,267.8,0.0001,                                
LANL-FDET           ,14,2,0,2.9,28.03,18,8,1990,2,0,0,  ,  ,    ,0,61.5,61.8,0.01,257.2,0.0001,                                
LANL-FDET           ,15,2,0,2.9,31.79,18,8,1991,3,0,0,  ,  ,    ,0,117.2,115,0.01,314.6,0.0001,                                
LANL-FDET           ,16,2,0,2.9,38.33,18,12,1992,3,0,0,  ,  ,    ,0,264.4,269.1,0.01,402.8,0.0001,                                
LANL-FDET           ,17,2,0,2.9,39.38,18,12,1993,3,0,0,  ,  ,    ,0,307.6,303,0.01,406.7,406.7,                                
LANL-FDET           ,18,2,0,2.9,33.4,18,8,1993,3,0,0,  ,  ,    ,0,164.6,164.6,0.01,377.3,377.3,                                
LANL-FDET           ,19,2,0,2.9,33.32,18,8,1990,3,0,0,  ,  ,    ,0,144.2,141.3,0.01,322,322,                                
LANL-FDET           ,20,2,0,2.9,34.98,18,8,1990,3,0,0,  ,  ,    ,0,189.2,190,0.01,348.2,348.2,                                
LANL-FDET           ,21,2,0,2.9,38.33,18,12,1992,3,0,0,  ,  ,    ,0,271.8,263.8,0.01,411.6,411.6,                                
LANL-FDET           ,22,2,0,2.9,40.35,18,12,1992,3,0,0,  ,  ,    ,0,365.7,361.8,0.01,445.8,445.8,                                
LANL-FDET           ,23,2,0,2.9,38.33,18,12,1992,3,0,0,  ,  ,    ,0,283.1,277.3,0.01,403,403,                                
LANL-FDET           ,24,2,0,2.9,40.35,18,12,1992,3,0,0,  ,  ,    ,0,412.9,410.6,0.01,457.6,457.6,                                
LANL-FDET           ,25,2,0,2.9,38.33,18,12,1992,3,0,0,  ,  ,    ,0,280.9,279.8,0.01,416.5,416.5,                                
LANL-FDET           ,26,2,0,2.9,39.38,18,12,1992,3,0,0,  ,  ,    ,0,292.8,288.6,0.01,413.4,413.4,                                
LANL-FDET           ,27,2,0,2.9,33.4,18,8,1993,3,0,0,  ,  ,    ,0,162.7,160.2,0.01,373.7,373.7,                                
LANL-FDET           ,28,2,0,2.9,33.4,18,8,1993,3,0,0,  ,  ,    ,0,168.7,166,0.01,380.1,380.1,                                
LANL-FDET           ,29,2,0,2.9,33.32,18,8,1990,3,0,0,  ,  ,    ,0,167.5,166.9,0.01,330.2,330.2,                                
LANL-FDET           ,30,2,0,2.9,34.98,18,8,1990,3,0,0,  ,  ,    ,0,184.8,186.7,0.01,347.9,347.9,                                
LANL-FDET           ,31,2,0,2.9,33.32,18,8,1990,3,0,0,  ,  ,    ,0,147.2,147.7,0.01,326.1,326.1,                                
LANL-FDET           ,32,2,0,2.9,33.4,18,8,1993,3,0,0,  ,  ,    ,0,171.9,172.1,0.01,387.3,387.3,                                
LANL-FDET           ,33,2,0,2.9,33.4,18,8,1993,3,0,0,  ,  ,    ,0,175.5,176.5,0.01,386.6,386.6,                                
LANL-FDET           ,34,2,0,2.9,33.4,18,8,1993,3,0,0,  ,  ,    ,0,178.7,181.2,0.01,386.2,386.2,                                
LANL-FDET           ,35,2,0,2.9,34.98,18,12,1990,3,0,0,  ,  ,    ,0,200.1,203.4,0.01,349,349,                                
LANL-FDET           ,36,2,0,2.9,37.63,18,12,1992,3,0,0,  ,  ,    ,0,245.3,246.9,0.01,399.3,399.3,                                
LANL-FDET           ,37,2,0,2.9,38.28,18,12,1992,3,0,0,  ,  ,    ,0,257.1,253.5,0.01,395.2,395.2,                                
LANL-FDET           ,38,2,0,2.9,34.98,18,8,1990,3,0,0,  ,  ,    ,0,174.7,175,0.01,333.8,333.8,                                
LANL-FDET           ,39,2,0,2.9,34.98,18,8,1990,3,0,0,  ,  ,    ,0,186.7,185.5,0.01,348.7,348.7,                                
LANL-FDET           ,40,2,0,2.9,37.63,18,12,1992,3,0,0,  ,  ,    ,0,247.4,250,0.01,401.6,401.6,                                
LANL-FDET           ,41,2,0,2.9,38.28,18,12,1992,3,0,0,  ,  ,    ,0,279.8,275.8,0.01,404.2,404.2,                                
LANL-FDET           ,42,2,0,2.9,38.33,18,12,1992,3,0,0,  ,  ,    ,0,315.8,318.4,0.01,415.7,415.7,                                
